Date,Notices du catalogue,Titre,Titre original,Éditeur,Responsabilité principale,Responsabilité secondaire,Nom Traducteurs,ISNI Traducteurs
1946,http://catalogue.bnf.fr/ark:/12148/cb32497251b,Kristinus Bergman : roman,Kristinus Bergman,La Nouvelle Édition,Arthur Omre,traduit du norvégien par Marguerite Chevalley,"['Chevalley, Marguerite  (1880-1979)']",['ISNI000000010930173X']
1946,http://catalogue.bnf.fr/ark:/12148/cb37489872x,Le souffle de la montagne : roman,Det blåser fra Dauingfjell,V. Attinger,Trygve Gulbranssen,traduit du norvégien par Y. Bercher-Mangin et A. Moser,"['Bercher-Mangin, Y. ', 'Moser, A. ']","['ISNI0000000432796074', 'ISNI0000000397900891']"
1947,http://catalogue.bnf.fr/ark:/12148/cb323844942,"L'étrange croisière de l'""Hidalgo""",,les Presses d'Ile de France,Nils Lie,traduit du norvégien par Mmes Marguerite Gay et Gerd de Mautort; illustrations de Petrus,"['Mautort, Gerd de ', 'Gay, Marguerite ']","['ISNI0000000061555174', 'ISNI0000000066414522']"
1947,http://catalogue.bnf.fr/ark:/12148/cb31409989f,La vigie solitaire,,G.-T. Rageot,Bernhard Stokke,traduit du norvégien par Judith et Gilles Gérard; illustrations de Léon Blot,"['Gérard-Arlberg, Judith ', 'Gérard-Arlberg, Gilles ']","['ISNI0000000053406670', 'ISNI0000000043594997']"
1947,http://catalogue.bnf.fr/ark:/12148/cb32194581v,Le navire poursuit sa route,Skibet gaar videre,Bordas,Nordahl Grieg,roman traduit du norvégien par H. Hilpert et G. de Mautort,"['Mautort, Gerd de ', 'Hilpert, H. ']",['ISNI0000000061555174']
1947,http://catalogue.bnf.fr/ark:/12148/cb37490170b,Les orchidées blanches,Gymnadenia,Éd. de la Paix,Sigrid Undset,roman trad. du norvégien par Marie et Raymond Blanpain,"['Blanpain, Marie ', 'Blanpain, Raymond ']","['ISNI0000000001743464', 'ISNI0000000001778149']"
1947,http://catalogue.bnf.fr/ark:/12148/cb374898738,Le salut du Gaard,Ingen vei går utenom,Ed. Attinger,Trygve Gulbranssen,roman trad. directement du norvégien par Greta Prozor,"['Prozor, Greta  (1885-1978)']",['ISNI0000000000594137']
1947,http://catalogue.bnf.fr/ark:/12148/cb32086676n,La route des oiseaux,3 pató og 2 pà fire,G.-T. Rageot,Hakon Evjenth,traduit du norvégien par Judith et Gilles Gérard; illustrations de P. Lagosse,"['Gérard-Arlberg, Gilles ', 'Gérard-Arlberg, Judith ']","['ISNI0000000043594997', 'ISNI0000000053406670']"
1948,http://catalogue.bnf.fr/ark:/12148/cb31789430k,Christine Lavransdatter,,Delamain et Boutelleau,Sigrid Undset,"trad. du norvégien par E. Avenard; préface de André Bellessort,..","['Hammar, Thekla  (1872-1953)', 'Avenard, Étienne ']","['ISNI0000000110293992', 'ISNI0000000045565989']"
1949,http://catalogue.bnf.fr/ark:/12148/cb43424182d,Dans la toundra,,Amitié-GT Rageot,Hakon Evjenth,"Judith et Gilles Gérard, trad. du norvégien; P. Lagosse, ill.","['Gérard-Arlberg, Judith ', 'Gérard-Arlberg, Gilles ']","['ISNI0000000053406670', 'ISNI0000000043594997']"
1949,http://catalogue.bnf.fr/ark:/12148/cb315119814,Jenny,Jenny,"Stock, Delamain et Boutelleau",Sigrid Undset,roman traduit du norvégien par M. Metzger,"['Metzger, Marthe ']",['ISNI0000000066415103']
1949,http://catalogue.bnf.fr/ark:/12148/cb374913437,Carré des soutiers,Fest i Port des Galets,le Livre du jour,Arne Skouen,trad. du norvégien par Madame Metzger,"['Metzger, Marthe ']",['ISNI0000000066415103']
1949,http://catalogue.bnf.fr/ark:/12148/cb37471339k,La femme fidèle : roman,Den trofaste hustru,Gallimard,Sigrid Undset,trad. du norvégien par T. Hammar et M. Metzger,"['Hammar, Thekla  (1872-1953)', 'Metzger, Marthe ']","['ISNI0000000110293992', 'ISNI0000000066415103']"
1949,http://catalogue.bnf.fr/ark:/12148/cb47121771q,Olav Audunssoen,Olav Audunssøn,"éditions Stock, Delamain et Boutelleau",Sigrid Undset,traduit du novégien par E. Guerre; avant-propos de Lucien Maury,"['Guerre, E.  (19..- 19..)']",['ISNI0000000397451221']
1950,http://catalogue.bnf.fr/ark:/12148/cb317962624,Le souffle de la montagne : roman,Det blåser fra Dauingfjell,V. Attinger,Trygve Gulbranssen,traduit du norvégien par Y. Bercher-Mangin et A. Moser,"['Bercher-Mangin, Y. ', 'Moser, A. ']","['ISNI0000000432796074', 'ISNI0000000397900891']"
