Item Type;Publication Year;Author;Title;Publication Title;Pages;Num Pages;Volume;Series;Place;Extra;Notes;Correspondance Sudoc;Correspondance BnF
journalArticle;1923;Hamsun, Knut;Un vagabond joue en sourdine];Europe;S. 24-52;;2(1923)no 5;;;;"Tittel laget av katalogisator; Utdrag fra: En vandrer spiller med sordin";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1923;"Ibsen, Henrik; Prozor, M.";Maison de poupée : drame en trois actes;;;245 s., pl. ill.;;Le theatre d'art;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1923;Rokseth, Peter;Terminologie de la culture des cereales a Majorque;;;215 s. ill.;;Biblioteca filologica de l'Institut de la lengua catalana;Barcelona;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb312373120']
book;1923;Lange, Chr. L.;Préparation de la Société des nations pendant la guerre;;;61 s.;;;Copenhague;;Særtrykk av: L'origine et l'oeuvre de la Société des nations;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1924;Hamsun, Knut;Pan : roman;;;212 s.;;;Paris;;;['http://www.sudoc.fr/243584784'];Pas de notice trouvée dans le catalogue de la BnF
book;1924;Schjelderup-Ebbe, Thorleif;despotisme chez les oiseaux;;;74 s. fig.;;;Paris;;Over tittelen: Institut général psychologique. Extrait du Bulletin no: 1-3, 24 anné 1924.;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1924;Høst, Sigurd;Henrik Ibsen;;;245 s.;;;Paris;;;['http://www.sudoc.fr/048442062'];['http://catalogue.bnf.fr/ark:/12148/cb322578138']
book;1924;Hamsun, Knut;vagabond joue en sourdine;;;253 s.;;Les prosateurs étrangers modernes;Paris;;;['http://www.sudoc.fr/100915639'];['http://catalogue.bnf.fr/ark:/12148/cb322202139']
book;1924;Mowinckel, Johan Ludwig;Norvège;;;25 s. ill. 35 cm;;;Paris;;"Innledning av Johan Ludwig Mowinckel; franske og norske forfattere; Katalogisert etter omslaget; Særtrykk med eget omslag av artikler i: Les Echos. No. 453 (1924, 20 août)";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1925;"Ibsen, Henrik; Prozor, M.";"revenants ; Maison de poupée";;;XXVII, 279 s.;;;Paris;;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-10-06; Opplagshistorikk:&nbsp;&nbsp;12e éd. 1906; 13e-14e éd. 1908; [Nytt oppl.] 1916; 30e&nbsp;&nbsp;éd. 1925; [Nytt oppl.] 1955";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1925;Ræstad, Chr;Norvège;;;XXII, 137 s. 4°;;;Paris;;"Supplement til ""La Vie Technique et Indusrielle"", oktober 1925";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1925;Fridrichsen, Anton;problème du miracle dans le christianisme primitif;;;126 s.;;Études d'histoire et de philosophie religieuses;Strasbourg;;;['http://www.sudoc.fr/275769658', 'http://www.sudoc.fr/064099040', 'http://www.sudoc.fr/011896612', 'http://www.sudoc.fr/048316296'];['http://catalogue.bnf.fr/ark:/12148/cb475081742', 'http://catalogue.bnf.fr/ark:/12148/cb47508334c', 'http://catalogue.bnf.fr/ark:/12148/cb32130963t']
book;1925;Broch, Olaf;dictature du prolétariat;;;S. [801]-822, [99]-117, [340]-359;;;Paris;;Særtrykk av: Le Correspondent. Année 97, no. 1500, 1501, 1503;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1925;"Bojer, Johan; Cros, Guy-Charles";puissance du mensonge  : roman;;;279 s.;;Collection Nelson;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1925;Schjelderup-Ebbe, Thorleif;voix du chien;;;4 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1925;Bojer, Johan;Dyrendal : Roman;;;339 s.;;;München;;;['http://www.sudoc.fr/001560808'];['http://catalogue.bnf.fr/ark:/12148/cb31836691r']
journalArticle;1925;;Practical hints to scientific travellers;Practical hints to scientific travellers;185 s., fold. pl. ill., kart;;3;;;Place: The Hague;Dekker Mexico, Asia, New Zealand og Marokko;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1925;Diriks, Dyre;Guerison spontanee de la luxation congenitale de la hanche;;;72 s. ill.;;Thèse pour le doctorat en médecine;Paris;;Avhandling (doktorgrad) - Paris;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb32033171s']
book;1926;Samdahl, B.;Etude chimique des fruits du Kirondro et de leurs principaux elements constituants : these;;;135 s.;;;Nancy;;(Dr.avh.)- Universite de Strasbourg, 1926;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1926;Haukland, Andreas;Vertige;;;211 s.;;Les prosateurs étrangers modernes;Paris;;;['http://www.sudoc.fr/00158135X'];['http://catalogue.bnf.fr/ark:/12148/cb32226916q']
book;1926;"Hamsun, Knut; Sautreau, Georges";faim;;;294 s.;;Les Prosateurs étrangers modernes;Paris;;;['http://www.sudoc.fr/064645231'];['http://catalogue.bnf.fr/ark:/12148/cb32220197w']
book;1926;"Amundsen, Roald; Rabot, Charles; Ellsworth, Lincoln";En avion vers le Pole Nord : relation de l'expédition Amundsen-Ellsworth;;;252 s., pl. ill.;;;Paris;;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2023-03-22; Over tittelen på omslaget: Expédition Amundsen-Ellsworth";['http://www.sudoc.fr/020112955'];Pas de notice trouvée dans le catalogue de la BnF
book;1926;Undset, Sigrid;"âge heureux ; Suivi de Simonsen";;;212 s.;;Collection de la revue europeenne;Paris;;Simonsen er en novelle fra samlingen Fattige skjæbner;['http://www.sudoc.fr/145771970', 'http://www.sudoc.fr/102564280'];['http://catalogue.bnf.fr/ark:/12148/cb35726004h', 'http://catalogue.bnf.fr/ark:/12148/cb31511974v']
book;1926;Bojer, Johan;émigrants  : roman;;;361 s.;;;Paris;;;['http://www.sudoc.fr/001580051'];['http://catalogue.bnf.fr/ark:/12148/cb318366923', 'http://catalogue.bnf.fr/ark:/12148/cb416264191']
book;1927;Hamsun, Knut;faim;;;294 s. ill.;;Les Beaus romans;Paris;;;['http://www.sudoc.fr/046597093'];['http://catalogue.bnf.fr/ark:/12148/cb41653413v']
book;1927;Hamsun, Knut;Rêveurs;;;14, 195 s. ill.;;Carnets littéraires, Série cosmopolite;Paris;;;['http://www.sudoc.fr/102670781'];['http://catalogue.bnf.fr/ark:/12148/cb35488626p', 'http://catalogue.bnf.fr/ark:/12148/cb32220208q']
book;1927;Jermstad, A.;Contribution a l'etude physico-chimique et chimique de l'essence absolue de sauge sclareè et de son principal èlèment constituant le sclarêol;;;97 s.;;Faculte de pharmacie;Nancy;;Avhandling (doktorgrad);Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1927;"Langfeldt, Eivind Schwartz; Universitè de Strasbourg";Etude chimique des principales espèces de vins de Norvėge : thèse ...;;;64 s.;;;Nancy;;"Avhandling (doktorgrad) - Universitè de Strasbourg, 1927; Over tittelen: Universitè de Strasbourg. Faculté de pharmacie, année 1926-1927 no 30";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1927;"Gaarder, Torbjørn; Gran, H.H.";Investigations of the production of plankton in the Oslo Fjord;;;48 s. fig. 4°;;Rapports et procès-verbaux des réunions (Conseil permanent international pour l'exploration de la mer : trykt utg.);Copenhague;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb45992261t']
book;1927;Obstfelder, Sigbjørn;Poèmes inédits d'Obstfelder;;;S. 113-115;;;Bruxelles;;Særtrykk av: La renaissance d'occident. T. 21, no. 2;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1927;Sommerfelt, Alf;origine indo-europeenne du preterit celtique en t;;;S. 253-263;;;Cracoviae;;Av: Symbolae grammaticae in honoremloannis Rozwadowski;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1927;Lyche, R. Tambs;Études sur l'equation fonctionnelle d'Abel dans le cas des fonctions réelles;;;34 s. fig.;;;Strasbourg;;Avhandling (doktorgrad) - Université de Strasbourg, 1927;['http://www.sudoc.fr/089344111', 'http://www.sudoc.fr/029018307'];['http://catalogue.bnf.fr/ark:/12148/cb314311381']
book;1927;"Bibliotheque Sainte-Genevieve (Paris); Øksnevad, Reidar; Verrier, Paul";pays du Nord autrefois  : Danemark, Finlande, Islande, Norvege, Suede : exposition a la Bibliothèque Sainte-Geneviève : du 23 Mai au 12 Juin 1927;;;53 s., XII blad ill. 19 cm;;;Paris;;Avant-propos / Reidar Øksnevad. Préface / Paul Verrier;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1927;"Amundsen, Roald; Ellsworth, Lincoln; Rabot, Charles";"D'Europe en Amérique par le Pôle Nord : voyage du dirigeable ""Norge""";;;268 s.;;;Paris;;;['http://www.sudoc.fr/021985316', 'http://www.sudoc.fr/101259700'];Pas de notice trouvée dans le catalogue de la BnF
book;1928;Hamsun, Knut;Sous l'étoile d'automne;;;246 s.;;Les Prosateurs étrangers modernes;Paris;;;['http://www.sudoc.fr/10066184X'];['http://catalogue.bnf.fr/ark:/12148/cb32220211m']
book;1928;Egge, Peter;Hansine Solstad;;;251 s.;;;Paris;;;['http://www.sudoc.fr/101183321'];['http://catalogue.bnf.fr/ark:/12148/cb32070534s']
book;1928;Nansen, Fridtjof;Arménie et le Proche Orient;;;364 s.;;;Paris;;;['http://www.sudoc.fr/015120066'];['http://catalogue.bnf.fr/ark:/12148/cb355547674', 'http://catalogue.bnf.fr/ark:/12148/cb324787161']
book;1928;Schnitler, Gudmund;guerre mondiale 1914-1918;;;374 s. ill.;;Collection de mémoires, études et documents pour servir a l'histoire de la guerre mondiale;Paris;;;['http://www.sudoc.fr/089410823'];['http://catalogue.bnf.fr/ark:/12148/cb31326089g', 'http://catalogue.bnf.fr/ark:/12148/cb32316358z']
book;1928;"Ibsen, Henrik; Prozor, M.";Brand : poème dramatique en 5 actes;;;XXIII, 278 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1928;Bojer, Johan;Norvège : sur les contes norvégiens de paysage;;;S. [606]-620;;;Gèneve;;I: Bibliothèque universelle et revue de Genève. - Mai 1928;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1928;Hansen, Lars;Aux prises avec le Spitzberg;;;II,197 s.;;Aventures;Paris;;;['http://www.sudoc.fr/001680412'];['http://catalogue.bnf.fr/ark:/12148/cb45994575t', 'http://catalogue.bnf.fr/ark:/12148/cb322214284']
journalArticle;1928;"Ibsen, Henrik; La Chesnais, P.G.";Norma, ou Les amours d'un politicien : tragédie lyrique en trois actes;La revue européenne;S. 342-357;;(Avril 1928);;;Place: Paris;Om Norma, s. [338]-341;['http://www.sudoc.fr/101115245'];Pas de notice trouvée dans le catalogue de la BnF
book;1928;Vinsnes, Johan Frederik;Le carrefour;;;248 s.;;Bibliothèque scandinave;Paris;;;['http://www.sudoc.fr/10111611X'];['http://catalogue.bnf.fr/ark:/12148/cb31589308s']
book;1929;Bojer, Johan;visage du monde;;;249 s.;;;Paris;;;['http://www.sudoc.fr/001703420'];Pas de notice trouvée dans le catalogue de la BnF
book;1929;"Bojer, Johan; La Chesnais, P.G.";prisonnier qui chantait  : roman;;;225 sider;;Collection nouvelle;Paris;;;['http://www.sudoc.fr/001645463'];['http://catalogue.bnf.fr/ark:/12148/cb318367048']
book;1929;Koht, Halvdan;luttes des paysans en Norvège du XVIe au XIXe siècle;;;315 s.;;Bibliotèque historique;Paris;;;['http://www.sudoc.fr/018681840'];['http://catalogue.bnf.fr/ark:/12148/cb32317769z']
book;1929;"Ibsen, Henrik; Prozor, M.";Jean-Gabriel Borkman : drame en quatre actes;;;XXII, 227 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1929;Rambech, Odd Wessel;Contribution à l'ètude des dèrivês maloniques cyanês-halogênês et amidês;;;85 s.;;;Strasbourg;;Avhandling (doktorgrad) - Strasbourg Universitaire;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1929;"Hoel, Sigurd; Sautreau, Georges";70 ans de Knut Hamsun;Europe;S. [5]-20;;21(1929)no 81;;;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1929;Undset, Sigrid;"Maternités ; suivi de La Bergère de porcelaine";;;210 s.;;;Paris;;"Første verk oversatt av Victor Vinde, andre verk av Jacques de Coussange; Oversettelser av Thjodolf (fra De kloge jomfruer) og Nikkedukken (fra Fattige skjæbner)";['http://www.sudoc.fr/051876914'];['http://catalogue.bnf.fr/ark:/12148/cb31511991f']
book;1929;"Bjørnson, Bjørnstjerne; Bætzmann, F.; Pagès, Alphonse; Salcedo, Maggie";Synneuve Solbakken;;;121 s. ill.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1929;"Bedel, Maurice; Krohg, Per";Jérôme : 60° latitude nord;;;211 s. ill. 4°;;;Paris;;;['http://www.sudoc.fr/137816448'];['http://catalogue.bnf.fr/ark:/12148/cb317853085']
book;1929;Størmer, Carl;De l'espace à l'atome;;;222 s.;;Nouvelle collection scientifique;Paris;;;['http://www.sudoc.fr/064337022', 'http://www.sudoc.fr/025418858'];['http://catalogue.bnf.fr/ark:/12148/cb31859537t']
book;1930;"Couttet, Alfred; Lunn, Arnold; Petersen, Emil";enchantement du ski;;;155 s. ill.;;;Paris;;;['http://www.sudoc.fr/199016119'];['http://catalogue.bnf.fr/ark:/12148/cb31091033k']
book;1930;Bojer, Johan;nouveau temple  : roman;;;279 s.;;;Paris;;;['http://www.sudoc.fr/164633227', 'http://www.sudoc.fr/06613711X', 'http://www.sudoc.fr/00170513X'];['http://catalogue.bnf.fr/ark:/12148/cb318367017']
book;1930;;Vikings d'hier et d'aujourd'hui;;;95 s. ill.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1930;Løvstad, Bergljot;Lettres françaises d'une nordique : (1929-30) : (Ecrites de France, d'Italie et d'Espagne);;;55 s.;;;Nimes;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1930;"Ibsen, Henrik; La Chesnais, P.G.";Œuvres complètes;Œuvres complètes;CXXXI, 395 s.;;T. 1;;;Place: Paris;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-06-17; Inneholder også norsk litteratur- og samfunnshistorie omkring 1850 og biografisk stoff om Henrik Ibsen";['http://www.sudoc.fr/065731417', 'http://www.sudoc.fr/047898968'];['http://catalogue.bnf.fr/ark:/12148/cb42484760v', 'http://catalogue.bnf.fr/ark:/12148/cb32268407p', 'http://catalogue.bnf.fr/ark:/12148/cb387043385', 'http://catalogue.bnf.fr/ark:/12148/cb32334138q']
book;1930;Haukland, Andreas;Mers du nord;;;228 s.;;Les Prosateurs étrangers modernes;Paris;;;['http://www.sudoc.fr/102695717'];['http://catalogue.bnf.fr/ark:/12148/cb322269141']
book;1930;Snorri Sturluson;Saga de Saint-Olav;;;304 s.;;;Paris;;Over tittel: Saga des rois de Norvège: Heimskringla;['http://www.sudoc.fr/009219579'];['http://catalogue.bnf.fr/ark:/12148/cb32251236t']
book;1930;"Hamsun, Knut; Sautreau, Georges";Benoni;;;297 s.;;Les Prosateurs étrangers modernes;Paris;;;['http://www.sudoc.fr/10267065X'];['http://catalogue.bnf.fr/ark:/12148/cb322201925']
book;1930;Sømme, Axel;Lorraine métallurgique;;;VIII, 249 s. ill.;;;Paris;;Avhandling (doktorgrad);Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb31382985v']
book;1930;Hamsun, Knut;Rosa : d'apres les papiers de l'etudiant Parelius;;;233 s.;;Les prosateurs étrangers modernes;Paris;;;['http://www.sudoc.fr/10267082X'];['http://catalogue.bnf.fr/ark:/12148/cb354886360']
book;1930;;Art vivant en Norvege;;;S. 973-1022 ill. 32 cm;;;Paris;;"Flere norske bidragsytere; Særtrykk av: L'art vivant. Année 6";Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1930;"Asbjørnsen, P. Chr. (Peter Christen); Moe, Jørgen; Pineau, Leon; Werenskiold, Erik; Kittelsen, Th. (Theodor)";Contes norvegiens;;;190 s. ill.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1930;"Ibsen, Henrik; La Chesnais, P.G.";Œuvres complètes;Œuvres complètes;496 s.;;T. 2;;;Place: Paris;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-06-17;['http://www.sudoc.fr/065731417', 'http://www.sudoc.fr/047898968'];['http://catalogue.bnf.fr/ark:/12148/cb42484760v', 'http://catalogue.bnf.fr/ark:/12148/cb32268407p', 'http://catalogue.bnf.fr/ark:/12148/cb387043385', 'http://catalogue.bnf.fr/ark:/12148/cb32334138q']
book;1930;"Cahen, Maurice; Olsen, Magnus";inscription runique du coffret de Mortain;;;66 s.;;Collection linguistique;Paris;;;['http://www.sudoc.fr/016922093'];['http://catalogue.bnf.fr/ark:/12148/cb31036403q']
book;1931;"Amundsen, Roald; Bec, Maurice";"Amundsen : ""My life as an explorer""";;;236 s.;;;Paris;;;['http://www.sudoc.fr/066048818'];Pas de notice trouvée dans le catalogue de la BnF
book;1931;Bojer, Johan;Skobelef : nouvelle;;;S. [193]-196;;;Paris;;I: Nouvel âge. - (1931) no 3;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1931;Eskeland, Lars;Ma visite à Thérèse Neumann;;;XXIV, 99 s.;;;Paris;;;['http://www.sudoc.fr/102241457'];['http://catalogue.bnf.fr/ark:/12148/cb320827492']
book;1931;Haukland, Andreas;saga de l'élan  : roi des forêts sauvages;;;202 s.;;Les Livres de nature;Paris;;;['http://www.sudoc.fr/047798769'];['http://catalogue.bnf.fr/ark:/12148/cb32226915c']
book;1931;Undset, Sigrid;Printemps;;;XI, 344 s.;;Bibliothèque Scandinave;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1931;Bojer, Johan;Gens de la côte : roman;;;279 s.;;;Paris;;;['http://www.sudoc.fr/001645617'];['http://catalogue.bnf.fr/ark:/12148/cb31836694s']
book;1931;"Undset, Sigrid; Coussange, Jacques de";vierges sages  :;;;255 sider;;Les meilleurs romans étrangers;[Paris];;;['http://www.sudoc.fr/078400600'];Pas de notice trouvée dans le catalogue de la BnF
book;1932;Bojer, Johan;oiseaux blancs;;;IV, 243 s.;;;Paris;;;['http://www.sudoc.fr/002100770'];['http://catalogue.bnf.fr/ark:/12148/cb35178878r', 'http://catalogue.bnf.fr/ark:/12148/cb31836703x']
book;1932;Hamsun, Knut;Pan : d'apres les papiers du lieutenant Thomas Glahn;;;253 s.;;Les prosateurs étrangers nodernes;Paris;;;['http://www.sudoc.fr/002497204', 'http://www.sudoc.fr/066468868'];['http://catalogue.bnf.fr/ark:/12148/cb35488611n', 'http://catalogue.bnf.fr/ark:/12148/cb322202061']
book;1932;Hamsun, Knut;Mystères;;;413 s.;;Les prosateurs étrangers modernes;Paris;;;['http://www.sudoc.fr/102670714'];['http://catalogue.bnf.fr/ark:/12148/cb322202030']
book;1932;"Smedal, Gustav; Rokseth, Peter";De l'acquisition de souveraineté sur les territoires polaires;;;208 s., pl.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2012-11-22;['http://www.sudoc.fr/020268084'];['http://catalogue.bnf.fr/ark:/12148/cb31376763r']
journalArticle;1932;"Ibsen, Henrik; La Chesnais, P.G.";Œuvres complètes;Œuvres complètes;572 s.;;T. 4;;;Place: Paris;;['http://www.sudoc.fr/065731433', 'http://www.sudoc.fr/065731441', 'http://www.sudoc.fr/04789914X'];Pas de notice trouvée dans le catalogue de la BnF
book;1932;Linge, Ola;suppression des dièzes et des bémols  : l'écriture rationelle : l'écr iture directe : un progrès immense dans l'écriture et dans la terminol ogie de la musique;;;[20] s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1932;"Ibsen, Henrik; La Chesnais, P.G.";Œuvres complètes;Œuvres complètes;642 s.;;T. 3;;;Place: Paris;"Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-07-03; Inneholder også opplysninger om teaterstykker spilt på Bergen Theater 1851-1852, ved Det Kongelige Theater i København 1852, i Dresden 1852 og i Bergen i perioden da Ibsen var teatersjef der, samt oversettelse av folkevisen Liti Kjersti";['http://www.sudoc.fr/065731433', 'http://www.sudoc.fr/065731441', 'http://www.sudoc.fr/04789914X'];Pas de notice trouvée dans le catalogue de la BnF
book;1932;Lescoffier, Jean;dernières corrections de Au dessus des forces (I)  : d'après le manuscrit de Björnstjerne Björnson avec une introduction;;;81 s.;;;Paris;;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2016-06-03;['http://www.sudoc.fr/067455182', 'http://www.sudoc.fr/067455190', 'http://www.sudoc.fr/054278287', 'http://www.sudoc.fr/101141017', 'http://www.sudoc.fr/067455174', 'http://www.sudoc.fr/05295899X', 'http://www.sudoc.fr/102670153', 'http://www.sudoc.fr/102669325', 'http://www.sudoc.fr/071414711'];['http://catalogue.bnf.fr/ark:/12148/cb45754337j', 'http://catalogue.bnf.fr/ark:/12148/cb32377545n', 'http://catalogue.bnf.fr/ark:/12148/cb323775460']
book;1933;Christiansen, Sigurd;Deux vivants et un mort;;;255 s.;;;Paris;;;['http://www.sudoc.fr/101106041'];['http://catalogue.bnf.fr/ark:/12148/cb319453703']
book;1933;Ræstad, Arnold;responsabilités légales des organismes de radiodiffusion;;;30 s.;;;Paris;;Særtrykk av: La radiodiffusion et la paix;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
book;1933;Rokseth, Yvonne;Grieg;;;85 s., LX pl. ill.;;Maitres de la musique ancienne et moderne;Paris;;;['http://www.sudoc.fr/090583078'];['http://catalogue.bnf.fr/ark:/12148/cb35604850t']
book;1934;Permanent Court of International Justice;Legal status of Eastern Greenland : judgment of April 5th, 1933 (series A./B., fascicule no. 53) : minutes of public sittings, oral statements = Statut juridique du Groënland oriental : arrét du 5 avril 1933 ...;;;S. 2585-3282;;Séries C;Leyden;;Fransk og engelsk parallell tekst;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
journalArticle;1934;"Ibsen, Henrik; La Chesnais, P.G.";Œuvres complètes;Œuvres complètes;564 s.;;T. 6;;;Place: Paris;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-06-17;['http://www.sudoc.fr/065731468', 'http://www.sudoc.fr/065582551', 'http://www.sudoc.fr/047898925', 'http://www.sudoc.fr/080920357'];['http://catalogue.bnf.fr/ark:/12148/cb32334138q']
book;1934;Hjort, Johan;crise de la verité;;;275 s. ill.;;Bibliotheque de philosophie scientifique;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb32249407h']
journalArticle;1934;"Ibsen, Henrik; La Chesnais, P.G.";Œuvres complètes;Œuvres complètes;623 s.;;T. 5;;;Place: Paris;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-06-17;['http://www.sudoc.fr/065731468', 'http://www.sudoc.fr/065582551', 'http://www.sudoc.fr/047898925', 'http://www.sudoc.fr/080920357'];['http://catalogue.bnf.fr/ark:/12148/cb32334138q']
book;1934;Smith, Olaf M.;Le statut juridique des terres polaires;;;199 s. kart;;;Paris;;;['http://www.sudoc.fr/065001982'];['http://catalogue.bnf.fr/ark:/12148/cb326367580', 'http://catalogue.bnf.fr/ark:/12148/cb31378487d', 'http://catalogue.bnf.fr/ark:/12148/cb32636759b', 'http://catalogue.bnf.fr/ark:/12148/cb31378488r']
book;1934;Egilsrud, Johan S.;"""Dialogue des morts"" dans les litteratures francaise, allemande et anglaise. (1644-1789)";;;223 s.;;;Paris;;Avhandling (doktograd);['http://www.sudoc.fr/010437045'];Pas de notice trouvée dans le catalogue de la BnF
book;1934;Ore, Øystein;corps algébriques et la théorie des idéaux;;;2 s. l., 71, [1] s.;;Mémorial des sciences mathématiques;Paris;;"""Index bibliographique"": p. 69-71.";Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb324982836']
journalArticle;1935;"Ibsen, Henrik; La Chesnais, P.G.";Œuvres complètes;Œuvres complètes;570 s.;;7;;;Place: Paris;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-06-17;['http://www.sudoc.fr/101435274', 'http://www.sudoc.fr/101435266', 'http://www.sudoc.fr/065731476', 'http://www.sudoc.fr/047898860'];['http://catalogue.bnf.fr/ark:/12148/cb322684081', 'http://catalogue.bnf.fr/ark:/12148/cb323341392']
book;1935;Hansen, Björge;Contribution a l'ètude de l'alcoolyse de quelques huiles;;;69 s.;;Thèse;Strasbourg;;;['http://www.sudoc.fr/129099635'];Pas de notice trouvée dans le catalogue de la BnF
book;1935;Bojer, Johan;maison et la mer  : roman;;;308 s.;;;Paris;;;Pas de notice trouvée dans le Sudoc;['http://catalogue.bnf.fr/ark:/12148/cb31836699h']
book;1935;Bojer, Johan;maison et la mer;;;S. [302]-337;;;Paris;;I: La Revue de Paris. - 42 année (1935) no 2;['http://www.sudoc.fr/002495945'];['http://catalogue.bnf.fr/ark:/12148/cb35178772d', 'http://catalogue.bnf.fr/ark:/12148/cb31836699h']
journalArticle;1935;"Ibsen, Henrik; La Chesnais, P.G.";Œuvres complètes;Œuvres complètes;467 s.;;8;;;Place: Paris;Elektronisk reproduksjon [Norge] Nasjonalbiblioteket Digital 2010-06-17;['http://www.sudoc.fr/101435274', 'http://www.sudoc.fr/101435266', 'http://www.sudoc.fr/065731476', 'http://www.sudoc.fr/047898860'];['http://catalogue.bnf.fr/ark:/12148/cb322684081', 'http://catalogue.bnf.fr/ark:/12148/cb323341392']
book;1935;Linge, Tore;conception de l'amour dans le drame de Dumas fils et d'Ibsen;;;259 s.;;Bibliothèque de la Revue de littérature comparée;Paris;;Avhandling (doktorgrad) - Université de Paris, 1935;['http://www.sudoc.fr/103141510', 'http://www.sudoc.fr/010437312'];['http://catalogue.bnf.fr/ark:/12148/cb32387182z', 'http://catalogue.bnf.fr/ark:/12148/cb34694114r', 'http://catalogue.bnf.fr/ark:/12148/cb323871839']
book;1936;Hambro, Edvard;L'execution des sentences internationales;;;148 s.;;;Paris;;;['http://www.sudoc.fr/087692724'];['http://catalogue.bnf.fr/ark:/12148/cb322188517']
book;1936;Hamsun, Knut;Vagabonds;;;446 s.;;Romans étrangers;Paris;;;['http://www.sudoc.fr/100975674'];Pas de notice trouvée dans le catalogue de la BnF
book;1936;Vauvert, Finn Duchesne de;Majordome prince des Espions;;;251 s.;;La Guerre secrète;Paris;;;Pas de notice trouvée dans le Sudoc;Pas de notice trouvée dans le catalogue de la BnF
