RCR;PPN;Titre;Responsabilité principale;Responsabilité secondaire;Éditeur;Date;Titre original;IdRef Auteurs;Auteurs;IdRef Traducteurs;Traducteurs
751052115;https://www.sudoc.fr/102690855;Quelques poèmes et chansons;Bjørnstjerne Bjørnson;Trad. du norvégien par Dagny Bjørnson et Georges Sautreau;Société générale d'impression;1913;;['028489535'];['Bjørnson, Bjørnstjerne (1832-1910)'];['027124118'];['Bjørnson, Dagny ()' 'Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/102690669;Laboremus;Bjørnstjerne Bjørnson;Trad. de Mme. Rémusat;éd. de la Revue Blanche;1901;;['028489535'];['Bjørnson, Bjørnstjerne (1832-1910)'];[];['Rémusat, Mme. ()']
751052115;https://www.sudoc.fr/102690480;Au-dessus des forces humaines;Bjørnstjerne Bjørnson;Trad. par Prozor et Lugné-Poë avec l'autorisation et l'approbation de l'auteur;Fasquelle;1911;;['028489535'];['Bjørnson, Bjørnstjerne (1832-1910)'];[];[]
751052115;https://www.sudoc.fr/102688087;L'étrange croisière de l'hidalgo;Nils Lie;Trad. par Marguerite Gay et Gerd de Mautort;Les presses d'Ile de France;1946;;[];['Lie, Nils ()'];['027019349' '026885883'];['Mautort, Gerd de (1905-1999)' 'Gay, Marguerite (1881-....)']
751052115;https://www.sudoc.fr/102670919;Un vagabond joue en sourdine;Knut Hamsun;Trad. par Georges Sautreau;Rieder;1925;;['026913852'];['Hamsun, Knut (1859-1952)'];['027124118'];['Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/10267082X;Rosa;Knut Hamsun;traduit du norvégien par Georges Sautreau;;;Rosa;['026913852'];['Hamsun, Knut (1859-1952)'];['027124118'];['Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/102670781;Rêveurs;Knut Hamsun;Trad. par Georges Sautreau;Kra;1927;;['026913852'];['Hamsun, Knut (1859-1952)'];['027124118'];['Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/102670757;Pan;Knut Hamsun;trad. par R. Rémusat;Revue blanche;1901;;['026913852'];['Hamsun, Knut (1859-1952)'];[];[]
751052115;https://www.sudoc.fr/102670714;Mystères;Knut Hamsun;Trad. par Georges Sautreau;Rieder;1932;;['026913852'];['Hamsun, Knut (1859-1952)'];['027124118'];['Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/10267065X;Benoni;Knut Hamsun;traduit  du norvégien par Georges Sautreau;;;;['026913852'];['Hamsun, Knut (1859-1952)'];['027124118'];['Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/102670633;Au pays des contes;Knut Hamsun;Trad. par Sigrid R. Peyronnet;Rieder;1923;;['026913852'];['Hamsun, Knut (1859-1952)'];[];['Peyronnet, Sigrid R. ()']
751052115;https://www.sudoc.fr/10264067X;Borée des pêcheurs des Lofoten aux lapons des Toundras;Eivind Berggrav;traduit du norvégien par Bertrand Deleste;V. Attinger;1947;Spenningens land.   : Visitas-glimt fra Nord-Norge;[];['Berggrav, Eivind ()'];[];['Deleste, Bertrand ()']
751052115;https://www.sudoc.fr/102626065;La grâce du roi;Olav Gullvaag;Adapté du norvégien par Jean Durignieux;Marguerat;1949;Kongens nåde;[];['Gullvaag, Olav ()'];[];['Durignieux, Jean ()']
751052115;https://www.sudoc.fr/102623414;Les maîtres de Björndal;Trygve Gulbranssen;Trad. du norvégien par Madeleine Blanc-Paulsen;Marguerat;1943;Det blåser fra Dauingfjell.;['034495657'];['Gulbranssen, Trygve (1894-1962)'];['067051758'];['Blanc-Paulsen, Madeleine ()']
751052115;https://www.sudoc.fr/102623317;Là-bas chante la forêt;Trygve Gulbranssen;trad. du norvégien par Mercédès Sundt;Victor Attinger;1939;Og bakom synger skogene;['034495657'];['Gulbranssen, Trygve (1894-1962)'];['165195320'];['Sundt, Mercédès (1909-1993)']
751052115;https://www.sudoc.fr/102621926;Rive bleue;Kristmann Gudmundsson;Traduit sur la version allemande par Gustave Roud;;;Den blå kyst;['165198613'];['Kristmann Guðmundsson,  (1901-1983)'];['027110842'];['Roud, Gustave (1897-1976)']
751052115;https://www.sudoc.fr/102609330;All that is mine demand;Nordahl Grieg;transl. from the Norwegian by G.M. Gathorne-Hardy;Hodder & Stoughton;1944;Friheten;['034410856'];['Grieg, Nordahl (1902-1943)'];[];[]
751052115;https://www.sudoc.fr/102609241;Le navire poursuit sa route;Nordahl Grieg;trad. du norvégien par H. Hilpert et G. de Mautort;Bordas;1947;Skibet går videre;['034410856'];['Grieg, Nordahl (1902-1943)'];['027019349'];['Mautort, Gerd de (1905-1999)' 'Hilpert, H. ()']
751052115;https://www.sudoc.fr/102565899;Vers l'avenir;Sigrid Undset;;Marguerat;1944;Tilbake til Fremtiden;['027172511'];['Undset, Sigrid (1882-1949)'];[];[]
751052115;https://www.sudoc.fr/102564280;L'âge heureux;Sigrid Undset;traduits du norvégien par V. Vindé et G. Sautreau;Ed. du Sagittaire;1926;;['027172511'];['Undset, Sigrid (1882-1949)'];['027124118' '029491975'];['Sautreau, Georges (1875-1951)' 'Vinde, Victor (1903-1970)']
751052115;https://www.sudoc.fr/101463324;Les prétendants à la couronne;Henrik Ibsen;Trad. de Trigant-Geneste;Stock;1902;;['027325032'];['Ibsen, Henrik (1828-1906)'];[];[]
751052115;https://www.sudoc.fr/101463308;La dame de la mer;Henrik Ibsen;Trad. de Chennevière et Johansen A;Stock;1921;;['027325032'];['Ibsen, Henrik (1828-1906)'];[];['Chennevière, Ad. ()' 'Johansen, A. ()']
751052115;https://www.sudoc.fr/101463294;La comédie de l'amour;Henrik Ibsen;Trad. par de Colleville et de Zepelin;Perrin;1925;;['027325032'];['Ibsen, Henrik (1828-1906)'];['03028242X' '029538955'];['Colleville, Ludovic de (1855-1918)' 'Zepelin, Fritz de (1868-1926)']
751052115;https://www.sudoc.fr/101463278;Œuvres complètes;Henrik Ibsen;traduites par P. G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/10146326X;Oeuvres complètes;Henrik Ibsen;Trad. par Chesnais;Plon;1932-1937;;['027325032'];['Ibsen, Henrik (1828-1906)'];[];[]
751052115;https://www.sudoc.fr/101463251;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/101455038;Oeuvres complètes;Henrik Ibsen;trad. par P.G. La Chesnais;Plon;1933-1945;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/101455011;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/10145497X;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/101435320;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/101435274;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/101435266;Œuvres complètes;Henrik Ibsen;traduites par P.-G. La Chesnais;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/101435258;Oeuvres complètes;Henrik Ibsen;Trad. par Chesnais;Plon;1930;;['027325032'];['Ibsen, Henrik (1828-1906)'];[];[]
751052115;https://www.sudoc.fr/101259751;En avion vers le pôle Nord;Roald Amundsen;Traduit du norvégien par Charles Rabot;Albin;1925;;['027375226'];['Amundsen, Roald (1872-1928)'];['027087069'];['Rabot, Charles (1856-1944)']
751052115;https://www.sudoc.fr/101259700;D' Europe en Amerique par le pôle Nord;Roald Amundsen, Lincoln Ellsworth;Relation établie par Charles Rabot d'après l'édition Norvégienne;Albin Michel;1927;;['027375226'];['Amundsen, Roald (1872-1928)'];['027087069'];['Rabot, Charles (1856-1944)']
751052115;https://www.sudoc.fr/101254261;Nids vides;Hans E. Kinck;Trad. du norvégien par A. Jolivet;;1927;;[];['Kinck, Hans Ernst (1865-1926)'];[];['Jolivet, Alfred ()']
751052115;https://www.sudoc.fr/101254202;Le Jeune cheval;Hans E. Kinck;Traduit du norvégien par A. Jolivet;;1923;;[];['Kinck, Hans Ernst (1865-1926)'];[];['Jolivet, Alfred ()']
751052115;https://www.sudoc.fr/101254164;Chrysanthème;Hans E. Kinck;trad. du norvégien par Jean Lescoffier;Les Editions de France;1927;;[];['Kinck, Hans Ernst (1865-1926)'];['03375621X'];['Lescoffier, Jean (1875-1947)']
751052115;https://www.sudoc.fr/101241313;Les sept roses de Haakon Hald;Harald Thaulow;Traduit du norvégien par Jean Lescoffier;Calmann-Lévy;1947;;[];['Thaulow, Harald ()'];['03375621X'];['Lescoffier, Jean (1875-1947)']
751052115;https://www.sudoc.fr/101239181;Le fils d'Alli;Magnhild Haalke;Roman traduit du norvégien par Georges Sautreau;Les écrits de France;1946;Allis sønn;[];['Haalke, Magnhild ()'];['027124118'];['Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/101237944;Traqué;Arthur Omre;Trad. du norvégien par Mme Chevalley;Presses de la Cité;1945;Flukten;['034411143'];['Omre, Arthur (1887-1967)'];[];['Chevalley,  ()']
751052115;https://www.sudoc.fr/101237049;Vivre dangereusement;Axel Kielland;Trad. de S. Nicolas;Delachaux & Niestlé;1945;Lev farlig;[];['Kielland, Axel ()'];[];[]
751052115;https://www.sudoc.fr/101226519;Lisbet sur la montagne;J. P. Falkberget;traduit du norvégien par Henri Boissin;;;Lisbet paa Jarnfjeld;['034720499'];['Falkberget, Johan (1879-1967)'];['078237866'];['Boissin, Henri (1910-1975)']
751052115;https://www.sudoc.fr/101171595;Hans E. Kinck;Alfred Jolivet;;;1927;;[];['Jolivet, Alfred ()'];[];[]
751052115;https://www.sudoc.fr/10111611X;Le carrefour;Johan Frederik Vinsnes;(Traduit par P.-G. La Chesnais.);Stock;1928;Et gatekryds;[];['Vinsnes, Johan Frederik ()'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/101115644;Les revenants;Henrik Ibsen;Trad. par Prozor;Perrin;1927;Gengangere;['027325032'];['Ibsen, Henrik (1828-1906)'];['028017099'];['Prozor, Maurice (1848-1928)']
